城市,跨境数据传输总量_TB,GDP_亿元,数字经济核心产业增加值_亿元,数据交易额_亿元
东莞,438.0096912991279,18256.51202819077,9412.820598186076,34.85235581879039
中山,392.9204088099866,5384.61030172103,2398.347690646059,128.03879820881792
佛山,376.8265208614228,16421.99475795763,7139.778423913026,20.74969581072263
广州,1220.6010864980144,38835.5004644355,18698.059586000916,58.02988041098121
惠州,306.3745704489499,7566.213404402431,2759.6464623443185,63.1942153315856
江门,276.0117351327397,5824.553238531797,2129.5608836223346,1.162731045132847
深圳,406.1228866129515,47018.60537076182,25594.130850570888,364.6500959059412
澳门,319.76505365257543,7396.870390459041,2871.891394521726,22.0689444762695
珠海,389.58047933858535,5691.601061927798,2768.868188453528,56.30947253682273
肇庆,466.9708152907904,4013.2371205566874,1409.3143157480977,29.11732144706053
香港,692.8183448544792,43385.0864531182,23989.72390488058,99.17841378909932
